carat,cut,color,clarity,depth,table,x,y,z,Expensive
0.3,Premium,F,VS2,62.5,58.0,4.28,4.26,2.67,0
1.0,Fair,G,SI2,67.8,61.0,5.96,5.9,4.02,0
0.3,Ideal,G,IF,61.2,57.0,4.35,4.38,2.67,0
0.42,Ideal,H,VVS2,61.9,55.0,4.83,4.86,3.0,0
0.83,Very Good,E,SI1,62.1,58.0,6.01,6.04,3.74,1
1.5,Good,H,VS2,63.9,60.0,7.17,7.22,4.6,1
0.73,Ideal,D,VS2,61.6,56.0,5.78,5.82,3.57,1
1.3,Premium,I,VS2,62.7,58.0,6.97,6.9,4.35,1
0.62,Ideal,G,IF,61.8,56.0,5.43,5.47,3.37,0
0.9,Very Good,E,SI2,63.5,58.0,6.08,6.14,3.88,1
0.57,Premium,J,SI2,62.7,60.0,5.25,5.21,3.28,0
1.21,Premium,G,VS2,60.3,60.0,6.89,6.83,4.14,1
2.01,Premium,I,SI2,62.5,60.0,8.04,7.95,5.0,1
0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,1
1.09,Very Good,D,SI2,62.2,59.0,6.46,6.49,4.03,1
0.93,Ideal,E,SI1,59.6,57.0,6.37,6.42,3.81,1
0.31,Premium,G,VS2,60.9,58.0,4.35,4.38,2.66,0
1.01,Very Good,D,SI1,62.1,59.0,6.37,6.41,3.97,1
0.6,Ideal,H,VS2,61.1,56.0,5.47,5.49,3.35,0
1.0,Very Good,D,VS2,61.8,61.0,6.35,6.39,3.9,1
1.04,Good,G,VS2,61.4,65.0,6.53,6.47,3.99,1
1.72,Premium,H,VS2,61.3,59.0,7.69,7.72,4.72,1
0.7,Very Good,H,VS1,62.5,61.0,5.62,5.67,3.53,0
0.52,Very Good,H,VS1,63.5,58.0,5.08,5.13,3.24,0
0.9,Ideal,G,SI1,62.5,55.0,6.17,6.21,3.87,1
0.56,Very Good,E,VS1,62.0,58.9,5.25,5.29,3.27,0
0.9,Premium,D,SI1,62.8,59.0,6.18,6.14,3.87,1
0.83,Ideal,F,SI1,62.1,55.0,6.05,6.0,3.74,1
1.0,Very Good,D,VS2,62.6,58.0,6.31,6.38,3.97,1
1.04,Premium,E,VVS1,62.5,59.0,6.41,6.46,4.02,1
0.71,Very Good,F,SI1,63.3,60.0,5.61,5.54,3.53,0
0.92,Premium,H,SI1,62.4,58.0,6.19,6.22,3.87,1
1.2,Good,H,SI2,62.2,62.0,6.69,6.75,4.18,1
0.36,Ideal,H,VS1,61.8,57.0,4.56,4.6,2.83,0
2.19,Good,I,SI2,63.7,57.0,8.23,8.19,5.23,1
1.2,Good,F,VS1,64.0,56.0,6.63,6.58,4.23,1
0.71,Ideal,I,VVS1,62.4,55.0,5.69,5.76,3.57,0
1.0,Very Good,I,VS1,63.3,55.0,6.39,6.34,4.03,1
0.57,Premium,I,SI2,62.1,60.0,5.32,5.27,3.29,0
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,1
0.35,Very Good,F,SI1,63.1,56.0,4.51,4.46,2.83,0
0.7,Very Good,I,VS1,63.2,55.0,5.63,5.58,3.54,0
0.36,Premium,E,SI1,61.3,56.0,4.62,4.58,2.82,0
0.43,Ideal,D,VVS1,62.3,56.0,4.81,4.82,3.0,0
1.24,Very Good,H,VS1,62.6,54.0,6.84,6.88,4.29,1
0.3,Very Good,E,SI2,61.8,60.0,4.39,4.42,2.59,0
1.5,Very Good,E,SI2,63.5,60.0,7.25,7.21,4.59,1
0.3,Ideal,F,VS1,62.3,56.0,4.26,4.28,2.66,0
1.59,Ideal,G,VVS1,59.9,56.0,7.57,7.64,4.55,1
0.7,Ideal,H,SI2,61.6,56.0,5.69,5.71,3.51,0
1.08,Premium,G,VS2,62.3,58.0,6.54,6.5,4.06,1
0.3,Ideal,D,VS2,61.4,58.0,4.29,4.31,2.64,0
1.03,Ideal,G,SI2,61.8,55.0,6.5,6.52,4.02,1
0.38,Ideal,E,SI2,61.2,57.0,4.71,4.67,2.87,0
0.33,Premium,F,VS2,60.1,58.0,4.45,4.47,2.68,0
0.51,Very Good,D,SI2,62.8,57.0,5.1,5.12,3.21,0
0.54,Ideal,H,VVS1,60.4,55.0,5.32,5.27,3.2,0
0.5,Premium,F,SI1,59.6,60.0,5.15,5.12,3.06,0
0.73,Ideal,E,SI1,61.6,57.0,5.81,5.78,3.57,0
0.72,Ideal,G,SI2,62.1,59.0,5.71,5.76,3.56,0
0.8,Ideal,D,VS2,61.3,56.0,5.97,6.0,3.67,1
1.12,Fair,D,VS2,58.9,59.0,6.84,6.77,4.01,1
1.04,Premium,I,SI1,62.5,62.0,6.45,6.39,4.01,1
2.22,Good,I,SI2,63.2,57.0,8.23,8.28,5.22,1
0.33,Very Good,G,SI1,61.2,56.0,4.44,4.46,2.72,0
0.41,Ideal,D,VS2,62.4,55.0,4.79,4.76,2.98,0
1.0,Ideal,H,SI2,59.4,55.0,6.59,6.65,3.93,1
0.3,Premium,H,SI1,59.3,59.0,4.38,4.36,2.59,0
0.3,Ideal,I,VS1,61.5,58.0,4.28,4.31,2.64,0
1.07,Premium,F,SI2,61.8,59.0,6.53,6.57,4.05,1
0.31,Premium,H,VS1,61.4,56.0,4.39,4.37,2.69,0
2.06,Very Good,G,SI2,62.3,59.0,8.07,8.2,5.07,1
0.56,Ideal,D,SI1,62.5,56.0,5.24,5.26,3.28,0
0.36,Very Good,H,VS1,61.6,59.0,4.52,4.57,2.8,0
0.85,Premium,I,I1,59.6,58.0,6.24,6.14,3.69,0
0.44,Premium,E,SI1,62.3,58.0,4.85,4.88,3.03,0
1.7,Ideal,I,SI2,60.7,59.0,7.69,7.64,4.65,1
1.01,Premium,H,SI1,62.5,59.0,6.44,6.33,3.99,1
1.0,Ideal,E,SI1,62.3,55.0,6.41,6.34,3.97,1
1.28,Ideal,G,VS1,62.0,57.0,6.97,6.96,4.32,1
2.0,Very Good,G,SI1,62.5,58.0,7.98,8.04,5.01,1
0.37,Premium,H,VVS2,61.3,58.0,4.63,4.6,2.83,0
0.4,Very Good,D,VS1,64.2,57.0,4.67,4.7,3.01,0
0.9,Fair,D,SI1,64.0,63.0,6.12,6.04,3.89,1
2.06,Premium,F,I1,58.7,61.0,8.33,8.31,4.88,1
0.5,Very Good,E,VS2,61.3,62.0,5.05,5.1,3.11,0
0.31,Premium,F,VVS1,59.9,59.0,4.45,4.43,2.66,0
0.53,Good,H,SI1,63.9,55.0,5.14,5.19,3.3,0
0.41,Premium,J,VS2,61.9,59.0,4.69,4.74,2.92,0
0.31,Premium,I,VVS1,62.2,60.0,4.32,4.3,2.68,0
0.75,Very Good,E,VVS1,62.3,57.0,5.73,5.83,3.6,1
0.78,Ideal,E,VS2,62.0,55.0,5.95,5.89,3.67,1
0.35,Ideal,D,SI1,62.7,56.0,4.49,4.51,2.82,0
0.41,Ideal,G,VVS1,62.2,54.0,4.79,4.82,2.99,0
0.32,Ideal,F,VS2,62.8,53.0,4.38,4.34,2.74,0
0.91,Ideal,G,SI2,62.2,57.0,6.18,6.24,3.86,1
1.83,Premium,H,SI1,60.4,59.0,7.89,7.85,4.75,1
1.22,Very Good,J,VS1,59.0,63.0,7.05,7.02,4.15,1
1.01,Ideal,E,SI2,61.8,55.0,6.45,6.49,3.98,1
2.52,Very Good,G,SI2,63.2,58.0,8.65,8.61,5.45,1
0.79,Very Good,H,VS2,61.5,55.0,5.89,5.94,3.64,0
0.41,Good,E,VS1,62.8,58.0,4.67,4.7,2.94,0
0.42,Very Good,D,SI2,62.9,55.0,4.78,4.82,3.02,0
1.24,Ideal,J,SI1,61.9,56.0,6.95,6.88,4.28,1
1.26,Ideal,J,SI2,62.8,54.0,6.91,6.89,4.33,1
1.2,Ideal,F,VS1,60.7,57.0,6.89,6.85,4.17,1
0.32,Premium,G,VS2,61.9,58.0,4.36,4.43,2.72,0
2.09,Premium,H,SI1,61.1,56.0,8.3,8.23,5.05,1
1.5,Premium,I,SI1,58.6,62.0,7.46,7.43,4.36,1
0.29,Very Good,G,VS2,61.5,58.0,4.25,4.27,2.62,0
0.81,Very Good,H,VS1,62.5,57.0,5.94,5.96,3.72,1
0.61,Premium,D,VS1,62.4,57.0,5.46,5.44,3.4,0
1.52,Ideal,E,SI1,62.1,56.0,7.35,7.38,4.57,1
0.7,Ideal,F,VVS2,62.0,55.0,5.71,5.67,3.53,1
0.24,Very Good,E,VVS2,62.2,60.0,3.97,4.01,2.48,0
0.41,Premium,H,SI1,61.7,60.0,4.75,4.71,2.92,0
1.51,Good,D,SI1,63.6,61.0,7.1,7.25,4.56,1
0.41,Very Good,D,SI1,60.3,63.0,4.78,4.8,2.89,0
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,0
0.7,Premium,D,VS1,61.0,59.0,5.79,5.72,3.51,1
0.76,Premium,F,SI2,61.8,58.0,5.83,5.88,3.62,0
0.5,Ideal,G,VVS1,62.7,57.0,5.07,5.1,3.19,0
0.7,Ideal,E,SI1,61.6,56.0,5.7,5.72,3.52,1
0.7,Ideal,G,VVS2,61.8,56.0,4.36,4.31,2.68,0
0.38,Premium,H,VVS1,61.2,60.0,4.7,4.68,2.87,0
0.25,Ideal,E,VVS1,62.3,53.0,4.08,4.11,2.55,0
0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53,0
0.37,Ideal,E,VS1,63.3,54.0,4.59,4.63,2.91,0
1.71,Ideal,H,VS2,62.5,57.0,7.59,7.63,4.76,1
0.24,Ideal,G,IF,60.8,58.0,4.01,4.05,2.44,0
0.65,Ideal,H,VS1,61.8,55.0,5.6,5.56,3.45,0
1.02,Very Good,E,IF,63.5,58.0,6.43,6.33,4.05,1
0.77,Very Good,F,VS2,62.6,55.0,5.85,5.88,3.67,1
0.31,Ideal,E,IF,63.0,55.0,4.34,4.37,2.73,0
2.01,Very Good,I,VS1,59.8,63.0,8.14,8.11,4.86,1
1.03,Ideal,J,SI1,62.3,56.0,6.51,6.45,4.04,1
1.59,Ideal,H,VS1,61.8,57.0,7.49,7.42,4.61,1
1.02,Ideal,F,SI2,61.4,56.0,6.47,6.5,3.98,1
0.71,Ideal,D,VS1,62.2,55.0,5.71,5.74,3.56,1
0.35,Ideal,D,VVS1,61.5,57.0,4.52,4.55,2.79,0
1.07,Ideal,E,VS1,60.0,58.0,6.66,6.7,4.01,1
0.35,Ideal,E,VS2,63.5,54.0,4.48,4.43,2.83,0
0.31,Ideal,H,VS1,62.2,57.0,4.37,4.34,2.71,0
1.51,Premium,F,VS2,63.0,56.0,7.3,7.26,4.59,1
0.77,Ideal,D,SI1,62.6,57.0,5.92,5.81,3.67,0
0.31,Ideal,G,VVS1,62.5,54.0,4.34,4.37,2.72,0
1.1,Ideal,H,VS2,62.7,56.0,6.58,6.63,4.14,1
1.03,Premium,D,VVS2,61.7,59.0,6.48,6.43,3.98,1
0.24,Very Good,D,VVS2,61.5,58.0,3.96,3.98,2.44,0
0.4,Ideal,F,VVS2,62.4,57.0,4.73,4.69,2.94,0
1.02,Very Good,E,SI1,63.5,55.0,6.3,6.37,4.02,1
0.32,Premium,D,VS2,62.9,59.0,4.39,4.36,2.75,0
0.31,Premium,D,SI1,61.4,58.0,4.39,4.34,2.68,0
0.64,Ideal,E,VS1,60.8,56.0,5.61,5.59,3.41,0
1.01,Premium,H,SI2,61.9,61.0,6.34,6.29,3.91,1
1.22,Ideal,G,VS2,62.0,57.0,6.88,6.83,4.25,1
2.01,Good,I,SI1,63.8,57.0,7.95,7.91,5.06,1
0.31,Good,D,SI1,63.3,59.0,4.24,4.29,2.7,0
0.42,Ideal,G,SI1,60.7,57.0,4.81,4.89,2.95,0
0.4,Premium,G,VVS2,61.7,59.0,4.73,4.76,2.93,0
0.91,Very Good,H,VVS2,62.9,58.0,6.14,6.17,3.87,1
2.3,Premium,I,SI2,61.3,58.0,8.53,8.46,5.21,1
0.7,Ideal,D,VS1,62.1,55.0,4.83,4.86,3.01,0
0.51,Premium,D,VS1,59.5,57.0,5.24,5.21,3.11,0
1.0,Ideal,D,SI2,62.3,56.0,6.39,6.33,3.96,1
0.55,Ideal,E,SI1,61.8,58.0,5.24,5.28,3.25,0
1.12,Very Good,H,SI2,62.5,58.0,6.58,6.63,4.13,1
0.4,Ideal,I,VVS2,62.4,55.0,4.7,4.73,2.94,0
0.41,Ideal,E,SI2,61.5,58.0,4.79,4.83,2.96,0
1.5,Very Good,J,VS2,60.5,63.0,7.27,7.32,4.41,1
0.3,Ideal,E,VVS2,61.9,58.0,4.28,4.32,2.66,0
1.52,Good,I,SI1,64.0,58.0,7.2,7.27,4.63,1
0.31,Ideal,D,VS2,62.2,56.0,4.32,4.33,2.69,0
2.0,Premium,H,SI1,59.8,60.0,8.04,8.01,4.8,1
1.06,Very Good,G,VS2,60.1,58.0,6.64,6.67,4.0,1
1.2,Good,D,SI2,63.7,52.0,6.72,6.68,4.27,1
1.27,Premium,F,SI2,61.0,61.0,7.01,6.95,4.26,1
1.08,Ideal,G,SI2,61.8,56.0,6.54,6.6,4.06,1
1.07,Very Good,G,VS2,63.0,55.0,6.5,6.55,4.11,1
0.6,Very Good,J,VS2,60.0,59.4,5.47,5.51,3.29,0
0.31,Premium,G,VVS2,62.2,59.0,4.32,4.36,2.7,0
0.39,Ideal,F,VS1,62.3,57.0,4.65,4.69,2.91,0
0.43,Very Good,F,VS2,61.6,59.0,4.78,4.87,2.97,0
1.54,Ideal,G,VVS2,62.5,57.0,7.3,7.36,4.58,1
1.02,Very Good,G,VS2,60.5,60.0,6.53,6.49,3.94,1
1.17,Very Good,E,SI2,62.5,59.0,6.65,6.7,4.17,1
0.95,Very Good,D,SI1,63.7,55.0,6.2,6.24,3.96,1
0.51,Good,H,SI1,63.4,57.0,5.06,5.09,3.22,0
0.57,Ideal,E,VS1,62.9,57.0,5.29,5.27,3.32,0
1.53,Very Good,H,VS1,59.5,63.0,7.44,7.51,4.45,1
2.1,Ideal,H,SI2,63.1,55.0,8.17,8.13,5.14,1
0.9,Ideal,G,SI2,62.3,56.0,6.14,6.21,3.85,1
0.53,Ideal,I,SI2,61.8,54.0,5.22,5.24,3.23,0
0.7,Very Good,E,VS2,62.5,57.0,5.64,5.68,3.54,0
0.42,Ideal,D,SI1,61.8,57.0,4.77,4.8,2.98,0
1.01,Premium,H,SI1,59.2,58.0,6.58,6.56,3.89,1
0.38,Good,G,VS1,63.9,60.0,4.59,4.52,2.91,0
1.5,Premium,F,VS2,60.9,60.0,7.42,7.35,4.5,1
1.65,Ideal,G,VS2,61.9,57.0,7.65,7.61,4.72,1
0.3,Ideal,E,VS1,62.2,53.8,4.3,4.33,2.68,0
0.85,Very Good,E,VS2,63.6,56.0,5.97,6.01,3.81,1
1.5,Good,D,SI2,60.2,65.0,7.37,7.34,4.43,1
0.3,Premium,I,VVS1,62.6,60.0,4.25,4.28,2.67,0
0.71,Ideal,I,SI1,62.2,55.0,5.7,5.75,3.56,0
2.02,Very Good,I,SI1,60.4,58.0,8.2,8.16,4.94,1
0.52,Very Good,F,VS2,60.0,61.5,5.19,5.23,3.13,0
0.8,Ideal,F,SI2,62.5,56.0,5.94,5.99,3.73,1
0.31,Ideal,F,IF,62.1,55.0,4.32,4.38,2.7,0
0.3,Ideal,F,SI1,62.3,55.0,4.29,4.31,2.68,0
1.04,Good,D,SI1,63.7,58.0,6.39,6.43,4.08,1
0.52,Premium,E,SI1,60.9,58.0,5.21,5.17,3.16,0
0.59,Ideal,G,VS2,62.9,56.0,5.35,5.33,3.36,0
1.17,Ideal,G,VS2,61.3,56.0,6.79,6.81,4.17,1
0.5,Very Good,E,VS2,62.8,57.0,5.04,5.12,3.19,0
1.59,Ideal,H,VS1,61.8,57.0,7.42,7.49,4.61,1
0.54,Premium,D,VS2,61.7,58.0,5.24,5.16,3.21,0
1.23,Premium,G,VS1,62.2,58.0,6.78,6.74,4.27,1
0.5,Premium,E,SI1,63.0,58.0,5.08,5.04,3.19,0
0.4,Ideal,D,VVS2,61.4,56.0,4.8,4.75,2.93,0
0.31,Premium,G,VS2,59.8,60.0,4.43,4.4,2.64,0
0.38,Very Good,D,SI2,61.1,58.0,4.62,4.68,2.84,0
1.07,Premium,E,SI2,61.3,59.0,6.58,6.64,4.05,1
0.32,Ideal,I,VS1,62.3,56.0,4.4,4.37,2.73,0
1.5,Premium,G,I1,60.3,61.0,7.39,7.34,4.44,1
1.05,Ideal,J,SI2,61.6,57.0,6.55,6.51,4.02,1
0.72,Very Good,J,SI1,63.0,57.0,5.69,5.74,3.6,0
0.39,Premium,E,SI1,59.1,59.0,4.81,4.76,2.83,0
1.1,Ideal,F,VVS2,61.2,56.0,6.65,6.68,4.08,1
1.22,Ideal,D,VS2,61.7,56.0,6.89,6.86,4.24,1
0.97,Very Good,G,SI2,59.8,58.0,6.38,6.42,3.83,1
1.03,Ideal,G,SI2,60.4,56.0,6.56,6.53,3.95,1
0.55,Ideal,G,VVS1,60.0,56.0,5.35,5.39,3.21,0
1.0,Ideal,F,SI2,61.3,57.0,6.4,6.46,3.94,1
0.5,Ideal,H,VVS1,61.9,54.0,5.13,5.14,3.18,0
1.02,Premium,F,SI1,62.5,56.0,6.44,6.35,4.0,1
0.31,Premium,E,VS2,61.3,60.0,4.32,4.39,2.67,0
1.01,Premium,F,SI2,61.6,58.0,6.45,6.4,3.96,1
0.71,Premium,F,SI2,61.6,59.0,5.75,5.71,3.53,0
1.26,Premium,F,VS1,62.0,58.0,6.95,6.88,4.29,1
1.5,Very Good,I,SI1,63.1,54.0,7.34,7.31,4.62,1
0.4,Ideal,D,SI2,60.5,57.0,4.73,4.76,2.87,0
0.32,Ideal,E,VS2,61.1,56.0,4.46,4.48,2.73,0
0.7,Premium,J,SI1,62.8,59.0,5.65,5.6,3.53,0
0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58,0
0.72,Ideal,H,IF,62.1,58.0,5.72,5.75,3.56,1
1.02,Good,I,SI2,63.6,56.0,6.4,6.37,4.06,1
0.3,Good,H,SI1,63.9,55.0,4.24,4.27,2.72,0
1.23,Premium,F,VS1,61.3,60.0,6.94,6.9,4.24,1
0.32,Ideal,E,VS1,61.8,55.0,4.43,4.4,2.73,0
0.31,Very Good,E,SI1,61.8,55.0,4.35,4.31,2.75,0
0.31,Ideal,G,IF,61.1,57.0,4.38,4.42,2.68,0
0.74,Ideal,G,SI1,61.8,57.0,5.81,5.83,3.57,1
0.93,Very Good,I,VS1,62.6,59.0,6.17,6.2,3.87,1
0.3,Ideal,E,VS2,63.8,56.0,4.28,4.2,2.71,0
2.05,Ideal,J,SI1,60.3,60.0,8.17,8.24,4.95,1
0.39,Premium,E,VS2,61.4,58.0,4.68,4.73,2.89,0
0.9,Premium,F,SI1,59.9,59.0,6.29,6.26,3.76,1
1.01,Very Good,E,SI2,63.3,58.0,6.36,6.3,4.01,1
0.34,Good,H,VS2,63.7,57.0,4.42,4.44,2.82,0
0.31,Ideal,F,SI1,62.3,56.0,4.32,4.35,2.7,0
0.52,Ideal,F,VS1,62.2,55.0,5.14,5.18,3.21,0
0.43,Very Good,D,SI1,63.4,55.0,4.84,4.78,3.05,0
0.54,Premium,H,VVS2,60.6,60.0,5.29,5.31,3.21,0
1.62,Ideal,G,SI1,62.2,56.0,7.48,7.53,4.67,1
1.11,Ideal,E,VS2,62.2,56.0,6.59,6.66,4.12,1
0.32,Ideal,G,VVS2,61.5,57.0,4.43,4.39,2.71,0
0.4,Ideal,F,VVS2,60.4,56.0,4.79,4.82,2.9,0
0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,0
0.5,Fair,E,SI2,61.8,66.0,5.18,5.09,3.07,0
3.11,Fair,J,I1,65.9,57.0,9.15,9.02,5.98,1
0.4,Premium,E,SI1,60.1,59.0,4.76,4.82,2.88,0
0.8,Very Good,F,VS1,63.8,55.0,5.84,5.89,3.74,1
0.42,Premium,E,SI1,62.0,58.0,4.82,4.85,3.0,0
1.21,Ideal,I,SI2,60.6,56.0,6.92,6.94,4.2,1
1.2,Very Good,H,SI2,62.0,58.0,6.73,6.79,4.19,1
1.31,Ideal,G,VVS1,61.1,57.0,7.06,7.01,4.3,1
0.51,Premium,E,VVS1,61.4,60.0,5.11,5.05,3.12,0
1.11,Premium,G,VS2,61.5,58.0,6.69,6.62,4.09,1
0.77,Ideal,I,VS1,61.5,59.0,5.87,5.91,3.62,0
1.01,Good,D,SI1,58.5,64.0,6.4,6.45,3.76,1
0.9,Very Good,D,SI1,63.5,57.0,6.15,6.11,3.89,1
1.03,Good,J,SI1,61.8,57.0,6.38,6.29,4.03,0
1.0,Good,G,VS2,58.6,65.0,6.61,6.53,3.85,1
1.8,Ideal,F,SI1,61.4,54.0,7.86,7.82,4.81,1
0.33,Ideal,D,SI1,61.3,56.0,4.44,4.46,2.73,0
1.77,Ideal,J,VS1,62.2,56.0,7.77,7.73,4.82,1
1.4,Premium,H,VS2,62.9,55.0,7.15,7.06,4.47,1
1.0,Very Good,F,VS2,63.8,56.9,6.29,6.36,4.04,1
1.11,Premium,I,VS2,58.3,60.0,6.84,6.78,3.97,1
0.92,Very Good,D,SI1,60.7,58.0,6.27,6.39,3.84,1
0.59,Premium,E,SI2,60.8,56.0,5.43,5.4,3.29,0
2.02,Good,I,VS1,65.5,57.0,7.88,7.96,5.19,1
0.53,Ideal,E,VS2,62.3,57.0,5.23,5.19,3.25,0
0.28,Ideal,H,VVS2,62.0,57.0,4.21,4.24,2.62,0
1.53,Ideal,H,VS1,61.3,57.0,7.38,7.41,4.53,1
0.34,Premium,D,SI1,59.8,61.0,4.53,4.5,2.7,0
0.45,Very Good,E,VS2,61.8,58.0,4.9,4.94,3.04,0
1.02,Premium,F,SI1,61.0,59.0,6.58,6.47,3.98,1
1.5,Good,F,I1,63.7,59.0,7.29,7.18,4.62,1
0.73,Ideal,E,SI1,62.7,55.0,5.7,5.79,3.6,0
0.91,Very Good,G,SI1,62.8,56.0,6.16,6.2,3.88,1
1.05,Premium,D,SI1,60.5,60.0,6.62,6.53,3.98,1
2.01,Ideal,I,SI1,62.5,57.0,8.08,8.01,5.03,1
0.58,Ideal,D,SI2,63.4,57.0,5.29,5.34,3.37,0
0.9,Fair,D,SI1,66.4,59.0,5.97,5.92,3.95,1
0.56,Ideal,E,SI1,60.9,56.0,5.32,5.35,3.25,0
0.97,Premium,E,SI1,61.0,61.0,6.32,6.28,3.84,1
0.3,Premium,G,VS1,62.4,58.0,4.24,4.22,2.64,0
0.5,Ideal,G,VS2,62.5,57.0,5.04,5.07,3.16,0
0.43,Premium,G,VS2,61.2,58.0,4.9,4.84,2.98,0
0.27,Very Good,E,VS1,61.9,59.0,4.16,4.21,2.59,0
0.9,Good,F,SI1,62.7,58.0,6.11,6.13,3.84,1
0.7,Ideal,I,SI1,62.5,55.0,5.7,5.73,3.57,0
0.39,Very Good,H,VS1,61.7,57.0,4.65,4.68,2.88,0
0.9,Premium,G,SI1,62.7,59.0,6.1,6.14,3.84,1
0.42,Ideal,I,VVS2,61.2,57.0,4.83,4.87,2.97,0
0.31,Premium,H,VS2,62.4,59.0,4.31,4.34,2.7,0
0.3,Very Good,F,SI2,62.3,58.0,4.28,4.32,2.68,0
0.32,Ideal,H,VVS1,61.2,56.0,4.44,4.48,2.73,0
0.33,Ideal,E,VS1,62.6,57.0,4.4,4.42,2.76,0
0.51,Ideal,F,VS2,61.4,56.0,5.13,5.16,3.16,0
1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,1
0.31,Premium,F,VS2,61.7,58.0,4.34,4.38,2.69,0
0.34,Premium,E,SI2,61.7,58.0,4.54,4.5,2.79,0
0.32,Ideal,D,VS2,60.5,56.0,4.48,4.45,2.7,0
0.42,Ideal,F,SI2,61.7,54.0,4.85,4.87,3.0,0
0.32,Premium,G,VVS2,60.8,59.0,4.44,4.41,2.69,0
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,1
0.41,Ideal,D,SI1,62.3,55.0,4.79,4.77,2.98,0
0.57,Ideal,G,SI1,62.1,55.0,5.32,5.34,3.31,0
1.06,Premium,G,VVS2,62.4,55.0,6.54,6.5,4.07,1
0.57,Premium,G,VS2,62.1,57.0,5.3,5.27,3.28,0
0.5,Ideal,E,VS2,62.0,56.0,5.06,5.1,3.15,0
0.75,Very Good,E,SI1,62.3,58.0,5.78,5.81,3.61,0
0.26,Ideal,H,IF,61.1,57.0,4.12,4.16,2.53,0
1.08,Ideal,F,VS2,61.0,57.0,6.68,6.61,4.06,1
0.2,Ideal,E,VS2,62.2,57.0,3.76,3.73,2.33,0
0.61,Ideal,G,SI2,59.5,57.0,5.55,5.51,3.29,0
0.62,Fair,F,VS1,60.0,64.0,5.69,5.48,3.36,0
1.01,Premium,G,VS2,62.5,60.0,6.37,6.31,3.96,1
0.33,Ideal,F,VVS1,61.8,57.0,4.44,4.46,2.75,0
0.86,Ideal,E,SI1,60.6,56.0,6.16,6.18,3.74,1
0.3,Very Good,H,SI1,62.9,56.0,4.28,4.31,2.7,0
0.6,Premium,G,VVS2,59.7,60.0,5.55,5.5,3.3,0
2.14,Premium,G,SI2,60.4,59.0,8.32,8.38,5.04,1
1.04,Premium,G,VS1,62.0,56.0,6.53,6.46,4.03,1
0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,0
1.02,Ideal,F,SI2,62.4,57.0,6.4,6.43,4.0,1
0.9,Good,G,SI1,64.5,57.0,6.04,6.09,3.91,1
1.06,Good,F,SI1,57.0,64.0,6.8,6.71,3.85,1
0.32,Very Good,I,VS2,61.1,57.0,4.39,4.42,2.69,0
0.43,Premium,D,SI2,60.7,58.0,4.85,4.91,2.96,0
1.01,Ideal,D,SI2,62.5,57.0,6.39,6.35,3.98,1
0.29,Ideal,H,VVS2,61.7,56.0,4.29,4.33,2.66,0
0.73,Ideal,J,SI1,62.0,55.0,5.75,5.86,3.6,0
1.09,Ideal,E,VS2,60.6,57.0,6.66,6.67,4.04,1
0.72,Ideal,F,SI1,62.4,57.0,5.71,5.74,3.57,0
0.72,Ideal,G,SI2,61.4,56.0,5.76,5.83,3.56,0
0.71,Very Good,E,VVS1,57.9,61.0,5.88,5.96,3.43,1
0.71,Ideal,D,VS1,60.9,57.0,5.74,5.76,3.5,1
0.5,Premium,G,VS1,60.3,60.0,5.1,5.08,3.07,0
0.78,Ideal,E,SI1,62.7,55.0,5.87,5.9,3.69,1
0.44,Very Good,D,SI1,62.9,58.0,4.82,4.85,3.04,0
1.01,Fair,H,SI1,64.6,55.0,6.29,6.25,4.05,1
0.9,Very Good,D,SI2,62.2,57.0,6.11,6.15,3.81,1
0.74,Good,J,VS2,60.6,62.6,5.79,5.85,3.53,0
0.41,Ideal,I,VVS1,61.0,56.0,4.79,4.82,2.93,0
1.07,Premium,H,SI2,61.2,60.0,6.57,6.53,4.01,1
1.16,Very Good,D,SI2,62.5,60.0,6.64,6.7,4.17,1
0.41,Ideal,F,VVS1,61.7,57.0,4.77,4.8,2.95,0
0.5,Very Good,D,VS2,63.3,57.0,5.08,5.06,3.21,0
0.54,Ideal,F,SI1,61.8,56.0,5.22,5.23,3.23,0
1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,1
1.02,Very Good,H,VS2,62.4,57.0,6.35,6.4,3.98,1
0.78,Very Good,H,SI2,62.7,56.0,5.85,5.89,3.68,0
1.2,Very Good,G,SI2,59.7,59.0,6.89,6.94,4.13,1
1.03,Ideal,H,SI2,61.1,57.0,6.48,6.52,3.97,1
0.35,Very Good,G,IF,62.1,54.0,4.53,4.57,2.82,0
0.31,Premium,F,SI2,63.0,58.0,4.36,4.34,2.74,0
0.53,Very Good,J,VS1,61.4,56.0,5.19,5.23,3.2,0
0.31,Good,G,SI1,63.6,57.0,4.33,4.29,2.74,0
